benchmark,category,cs,status,cputime (s),walltime (s),memUsage,status-2,cputime (s)-2,walltime (s)-2,memUsage-2,speedup-2,status-4,cputime (s)-4,walltime (s)-4,memUsage-4,speedup-4,status-6,cputime (s)-6,walltime (s)-6,memUsage-6,speedup-6,status-8,cputime (s)-8,walltime (s)-8,memUsage-8,speedup-8
brltty-6.0/eutp.bc,OSS,0,OK,0.413456065,0.434653619,21450752,OK,0.485362868,0.330215327,23085056,1.316273302,OK,0.684099779,0.33704963,24219648,1.289583433,OK,0.660897209,0.329748105,25165824,1.318138338,OK,0.650648506,0.32311458,25452544,1.345199647
brltty-6.0/vstp.bc,OSS,0,OK,0.528366552,0.551249955,21065728,OK,0.684607064,0.491813297,22335488,1.120852076,OK,0.814300861,0.465671153,22933504,1.183775184,OK,0.680982025,0.471751285,23924736,1.168518184,OK,0.808462905,0.468528185,23252992,1.176556657
brltty-6.0/xbrlapi.bc,OSS,0,OK,3.269852527,3.294751175,47185920,OK,4.007724271,2.943920108,49049600,1.119171395,OK,4.101344216,2.873004489,51777536,1.146796389,OK,4.083767868,2.945398311,55570432,1.118609718,OK,3.957629445,2.890828074,56487936,1.139725743
bs1770gain-0.5.2/bs1770gain.bc,OSS,0,OK,1.078607689,1.111214639,54300672,OK,1.544526144,1.12838652,55627776,0.9847819159,OK,1.535758212,1.103655765,55865344,1.006848942,OK,1.614795471,1.126178838,58654720,0.9867124133,OK,1.596772734,1.116357052,57307136,0.9953935768
bsdiff-4.3/bsdiff.bc,OSS,0,OK,0.157382919,0.191381648,21762048,OK,0.235161856,0.188079339,22876160,1.017558064,OK,0.263224476,0.19150969,23367680,0.9993314072,OK,0.300141769,0.198956111,23957504,0.9619289754,OK,0.312313519,0.189124005,23646208,1.011937369
bsdiff-4.3/bspatch.bc,OSS,0,OK,0.063947373,0.086214065,18546688,OK,0.072587984,0.093269755,18849792,0.9243517901,OK,0.070388109,0.084674855,19234816,1.018177888,OK,0.074294873,0.099995434,19369984,0.8621800171,OK,0.074507192,0.094647382,19521536,0.9108975143
bspwm-0.9.7/bspc.bc,OSS,0,OK,0.059331243,0.086372535,17805312,OK,0.061193104,0.082487015,17784832,1.047104626,OK,0.059245982,0.082225015,17842176,1.050441098,OK,0.06103194,0.086281058,18145280,1.001060221,OK,0.060890391,0.083428609,17952768,1.035286768
bully-1.1.12.g04185d7/bully.bc,OSS,0,OK,272.958859,272.9825751,69132288,OK,398.2746092,199.5936064,75026432,1.367691982,OK,441.7707112,186.1888164,79806464,1.466159893,OK,469.3535311,190.9783932,85540864,1.429389841,OK,463.0802328,188.1883315,88514560,1.450581835
caph-1.1/caph.bc,OSS,0,OK,40.90520078,40.77882897,29790208,OK,59.51981236,30.28259458,31899648,1.346609481,OK,58.93368845,29.60785894,34652160,1.377297462,OK,51.04449126,30.24922562,37404672,1.348094972,OK,58.55684574,30.29414234,38739968,1.34609617
capstone-4.0.1/cstool.bc,OSS,0,OK,2614.180042,2614.302652,612454400,OK,2680.517001,2679.71373,607047680,0.9755902739,OK,2428.519528,2427.061746,609214464,1.077147154,OK,2304.461218,2303.100784,620228608,1.135122992,OK,2311.990509,2310.174727,612687872,1.131647153
catdoc-0.95/catdoc.bc,OSS,0,OK,22.33864419,22.36821722,30257152,OK,29.39858439,14.87297508,33341440,1.503950427,OK,34.22569989,10.60731134,37679104,2.108754661,OK,37.22552536,10.0085272,40456192,2.234915964,OK,38.46027796,10.06252323,42795008,2.222923287
catdoc-0.95/catppt.bc,OSS,0,OK,2.7394608,2.767273528,27115520,OK,3.544139559,2.227753859,29392896,1.242181005,OK,4.110691628,1.84544974,30654464,1.499511728,OK,3.707661601,1.718422842,32296960,1.610356578,OK,3.771746955,1.656292152,32710656,1.670764137
catdoc-0.95/xls2csv.bc,OSS,0,OK,17.04914676,17.0680438,29523968,OK,27.45405108,16.96980051,33488896,1.005789301,OK,27.79158826,16.49609006,36610048,1.034672079,OK,28.65096998,16.79285291,39956480,1.016387382,OK,31.26207129,16.75237438,42483712,1.018843265
catimg-2.5.0/catimg.bc,OSS,0,OK,190.1069167,190.1323348,48865280,OK,358.8463311,179.6327918,51109888,1.058450036,OK,440.6747371,187.4740979,54226944,1.014179222,OK,415.3085691,191.7184193,58703872,0.9917270103,OK,429.7798776,191.3258302,60612608,0.9937619749
